last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,
Perez, Michael,605421,2021,29,63,69,9,4,2,0,3,25,5,36.2,7.2,.143,.317,.217,.535,.193,.333,.231,.257,.263,.140,86.9,16.4,31.6,7.9,28.6,
Castro, Harold,605612,2021,28,98,106,30,29,1,0,0,20,7,18.9,6.6,.306,.316,.349,.665,.319,.441,.302,.351,.364,.122,88.4,7.3,46.8,0,29.9,
Tapia, Raimel,606132,2021,27,214,233,60,45,10,0,5,31,17,13.3,7.3,.280,.397,.330,.728,.264,.345,.316,.292,.316,.081,86.4,-0.5,23.8,2.2,15,
Hernandez, Teoscar,606192,2021,29,156,170,48,35,5,0,8,43,14,25.3,8.2,.308,.494,.365,.858,.292,.545,.370,.378,.350,.253,92.6,13.6,42.5,15,29.8,
Mercedes, Yermin,606213,2021,28,186,204,56,41,7,1,7,34,16,16.7,7.8,.301,.462,.358,.820,.263,.461,.350,.336,.323,.198,87.5,15.6,34.8,7.7,20.7,
Peraza, Jose,606299,2021,27,74,80,16,10,3,0,3,9,5,11.3,6.3,.216,.378,.275,.653,.223,.322,.287,.269,.281,.099,85.7,18.1,29.2,3.1,17.9,
Marte, Ketel,606466,2021,28,80,87,28,17,7,0,4,14,6,16.1,6.9,.350,.588,.391,.978,.345,.521,.433,.396,.394,.175,91.8,4.9,29.2,5.6,17.1,
Haase, Eric,606992,2021,29,63,69,17,7,2,1,7,21,5,30.4,7.2,.270,.667,.333,1.000,.280,.614,.412,.400,.342,.334,91.3,17.8,45.2,19,34.2,
Nimmo, Brandon,607043,2021,28,66,80,21,15,5,0,1,22,12,27.5,15.0,.318,.439,.425,.864,.265,.386,.392,.348,.387,.121,88.3,1.4,33.3,6.7,27.4,
Turner, Trea,607208,2021,28,219,237,68,47,11,0,10,50,13,21.1,5.5,.311,.498,.354,.852,.281,.463,.365,.346,.329,.182,88.5,8.8,33.1,6.9,23,
Beaty, Matt,607461,2021,28,91,104,26,20,3,0,3,19,10,18.3,9.6,.286,.418,.375,.793,.251,.351,.353,.316,.345,.100,86.8,6.3,29.2,1.4,21.1,
Blandino, Alex,607468,2021,29,70,82,14,10,4,0,0,28,8,34.1,9.8,.200,.257,.317,.574,.178,.253,.272,.262,.299,.075,85.4,13.6,33.3,0,31,
Pillar, Kevin,607680,2021,32,101,106,25,19,3,1,2,23,3,21.7,2.8,.248,.356,.283,.639,.230,.368,.278,.275,.266,.138,86.9,25.8,30.8,3.8,22.2,
Stallings, Jacob,607732,2021,32,140,161,34,19,10,1,4,33,20,20.5,12.4,.243,.414,.342,.756,.241,.419,.333,.332,.338,.178,87.9,9.4,39.4,8.3,26.7,
Ramirez, Jose,608070,2021,29,199,229,52,26,12,1,13,31,24,13.5,10.5,.261,.528,.345,.873,.301,.558,.367,.397,.384,.257,91.2,18.6,35.7,12.3,18.1,
Bregman, Alex,608324,2021,27,190,218,55,39,10,0,6,33,26,15.1,11.9,.289,.437,.381,.818,.265,.410,.350,.334,.358,.146,88.1,15.1,31.7,5,15.4,
Gallo, Joey,608336,2021,28,192,237,40,25,5,0,10,79,42,33.3,17.7,.208,.391,.359,.749,.211,.444,.336,.353,.361,.233,91.4,20.2,31,15,41.7,
Kelly, Carson,608348,2021,27,113,146,31,21,4,0,6,29,25,19.9,17.1,.274,.469,.411,.880,.282,.529,.383,.407,.419,.247,88.2,18,39.6,12.1,27.2,
Seager, Corey,608369,2021,27,147,169,39,26,7,2,4,29,19,17.2,11.2,.265,.422,.361,.783,.292,.501,.344,.381,.384,.208,91.5,8.6,32.2,8.5,30.7,
Winker, Jesse,608385,2021,28,196,216,67,42,10,1,14,40,18,18.5,8.3,.342,.617,.403,1.020,.314,.568,.435,.400,.378,.254,91.9,12.6,39.7,12.2,21.3,
Mazara, Nomar,608577,2021,26,96,105,19,13,3,1,2,26,9,24.8,8.6,.198,.313,.267,.579,.206,.365,.249,.277,.271,.160,91.1,9.3,30.1,11,29.2,
Murphy, Tom,608596,2021,30,106,117,18,8,4,0,6,43,8,36.8,6.8,.170,.377,.222,.600,.190,.405,.260,.278,.247,.214,90.4,20.8,34.4,12.5,40.2,
Plawecki, Kevin,608700,2021,30,50,55,13,9,3,0,1,8,3,14.5,5.5,.260,.380,.309,.689,.268,.474,.298,.347,.331,.206,89.9,12.1,33.3,6.7,15.1,
